ID;Name;Sex;PeoplesCount
20329;Аджелина;ЖЕН.;13
20330;Аджика;ЖЕН.;91
20331;Аджир;ЖЕН.;5
20332;Аджира;ЖЕН.;2
20333;Адзип;ЖЕН.;9
20334;Адиала;ЖЕН.;2
20336;Адиалида;ЖЕН.;3
20338;Адиба;ЖЕН.;546
20339;Адибя;ЖЕН.;3
20340;Адика;ЖЕН.;124
20341;Адила;ЖЕН.;249
20342;Адилага;ЖЕН.;1
20343;Адилаида;ЖЕН.;5
20345;Адилина;ЖЕН.;38
20346;Адилия;ЖЕН.;207
20348;Адиль;ЖЕН.;17000
20349;Адилья;ЖЕН.;23
20350;Адилэ;ЖЕН.;6
20351;Адиля;ЖЕН.;5000
20352;Адина;ЖЕН.;6000
20354;Адинай;ЖЕН.;896
20355;Адине;ЖЕН.;8
20356;Адинела;ЖЕН.;3
20357;Адиня;ЖЕН.;6
20358;Адиса;ЖЕН.;589
20359;Адислава;ЖЕН.;3
20360;Адисса;ЖЕН.;62
20362;Адитья;ЖЕН.;28
20363;Адитя;ЖЕН.;9
20365;Адия;ЖЕН.;2000
20366;Адиятулла;ЖЕН.;7
20367;Адлена;ЖЕН.;13
20368;Адлидия;ЖЕН.;1
20370;Адлифе;ЖЕН.;3
20371;Адлифя;ЖЕН.;1
20372;Адлиша;ЖЕН.;2
20373;Адмила;ЖЕН.;4
20374;Адмия;ЖЕН.;1
20375;Адна;ЖЕН.;830
20378;Адоина;ЖЕН.;1
20380;Адоланда;ЖЕН.;1
20381;Адолина;ЖЕН.;85
20382;Адолинна;ЖЕН.;1
20383;Адолия;ЖЕН.;12
20384;Адоль;ЖЕН.;121
20385;Адольджина;ЖЕН.;1
20386;Адолька;ЖЕН.;3
20387;Адольфа;ЖЕН.;252
20388;Адольфена;ЖЕН.;2
20389;Адольфина;ЖЕН.;14
20390;Адолья;ЖЕН.;1
20391;Адоля;ЖЕН.;61
20392;Адонисия;ЖЕН.;1
20394;Адонна;ЖЕН.;3
20395;Адоньфина;ЖЕН.;2
20396;Адоня;ЖЕН.;7
20397;Адоритта;ЖЕН.;1
20401;Адриада;ЖЕН.;10
20402;Адриана;ЖЕН.;5000
20403;Адрианна;ЖЕН.;261
20404;Адрина;ЖЕН.;109
20405;Адрине;ЖЕН.;76
20406;Адринэ;ЖЕН.;17
20408;Адрияна;ЖЕН.;96
20409;Адриянна;ЖЕН.;2
20410;Адула;ЖЕН.;15
